               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12713,             0.05045,                   0,             0.40295,             0.20145,             0.18648,            0.069631,             0.10435,             0.04872,                   0,            0.070019,           0.0033313,           0.0033313
                   1,             0.10455,            0.062723,                   0,             0.40752,             0.29379,             0.26236,             0.10468,            0.095554,            0.052641,                   0,            0.039887,           0.0065326,           0.0065326
                   2,             0.10097,            0.062551,                   0,             0.45963,              0.3376,             0.32563,             0.12981,            0.090438,            0.052115,                   0,           0.0096227,            0.009602,            0.009602
                   3,            0.096531,            0.062357,                   0,             0.52896,             0.36575,             0.38612,             0.17515,            0.086085,            0.050689,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.093466,            0.062494,                   0,             0.63436,             0.36999,             0.41407,              0.1921,            0.084155,            0.050017,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.09184,            0.061677,                   0,             0.59438,             0.39169,             0.42784,             0.19453,            0.083599,            0.049924,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.090898,            0.061409,                   0,             0.62073,             0.39666,             0.44222,             0.21938,            0.081632,            0.049012,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.090265,            0.060709,                   0,             0.60197,             0.40844,             0.44921,             0.22513,            0.081014,            0.048735,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.089457,            0.061077,                   0,              0.6354,             0.40851,             0.45842,             0.23418,            0.080375,            0.048433,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.089105,            0.060279,                   0,             0.63912,             0.41712,             0.47111,               0.241,            0.079878,            0.048052,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.088462,            0.059732,                   0,              0.6393,             0.42288,              0.4764,             0.24557,             0.07931,            0.048133,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.087393,            0.059021,                   0,             0.64536,              0.4234,             0.47744,             0.24684,            0.079003,            0.047882,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.087542,            0.059233,                   0,             0.66336,             0.42679,             0.48671,             0.25458,            0.078705,            0.047636,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.087208,            0.059512,                   0,             0.64529,             0.43043,              0.4872,             0.25724,            0.078482,            0.047402,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.087013,            0.059572,                   0,             0.67359,              0.4333,             0.49735,             0.26099,            0.078195,            0.047337,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.086465,             0.05922,                   0,             0.67898,             0.43066,             0.49258,             0.26046,            0.078012,            0.047232,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.08663,            0.058916,                   0,             0.68483,             0.43681,             0.50428,             0.26693,             0.07765,             0.04693,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.086483,            0.059471,                   0,             0.67489,             0.44086,             0.50283,             0.26825,              0.0775,            0.046857,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.085816,            0.058265,                   0,              0.6729,             0.45054,             0.51125,             0.27236,            0.077263,            0.046802,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.085519,            0.058931,                   0,             0.68764,             0.43878,             0.51242,             0.26885,            0.077162,              0.0469,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.08549,            0.058245,                   0,             0.66341,             0.45183,             0.51617,             0.27566,            0.076895,            0.046605,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.08549,             0.05859,                   0,             0.67564,             0.45095,             0.51896,             0.27945,            0.076628,            0.046357,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.085219,            0.058069,                   0,             0.69703,             0.44717,             0.52361,             0.28097,            0.076453,            0.046424,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.084954,             0.05786,                   0,             0.68402,             0.45299,             0.52198,              0.2815,            0.076319,            0.046297,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.084365,              0.0579,                   0,             0.68965,             0.44955,             0.52241,             0.28217,            0.076157,            0.046196,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.084662,            0.057956,                   0,             0.68426,             0.45582,             0.52553,             0.28436,            0.075928,             0.04604,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.084373,            0.058151,                   0,             0.68599,             0.45356,             0.52552,             0.28615,            0.075873,            0.045938,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.084235,            0.057609,                   0,             0.69107,             0.45562,             0.53081,             0.28806,            0.075717,            0.045893,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.084046,            0.057178,                   0,             0.69027,             0.45414,             0.53166,             0.29101,            0.075584,             0.04589,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.083756,            0.057174,                   0,              0.7017,             0.45407,             0.53277,             0.29279,             0.07554,            0.045888,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.084124,            0.056924,                   0,             0.70259,             0.45846,             0.53247,             0.29444,            0.075256,            0.045605,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.084192,            0.057286,                   0,             0.71444,             0.45267,             0.53344,             0.29307,            0.075223,            0.045552,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.083834,            0.057323,                   0,             0.69544,             0.46054,             0.53777,             0.29469,            0.075082,            0.045625,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.083503,            0.057308,                   0,             0.69049,             0.46649,             0.54244,             0.29899,               0.075,            0.045384,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.083196,            0.056614,                   0,             0.69138,             0.46412,             0.54316,              0.2995,            0.074844,            0.045263,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.083507,            0.057049,                   0,             0.69727,             0.46474,             0.54529,             0.30166,            0.074807,            0.045244,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.083054,            0.056452,                   0,             0.69808,             0.46789,             0.54365,             0.30088,            0.074678,            0.045271,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.083249,            0.057264,                   0,             0.70487,             0.46307,             0.54649,             0.30335,            0.074519,            0.045209,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.083041,            0.056328,                   0,             0.71109,             0.46271,             0.54663,              0.3041,            0.074533,            0.045326,                   0,            0.002674,            0.002674,            0.002674
